,ID,Birth Year,Gender Flag,Skillset1,Skillset1 Weight,Skillset2,Skillset2 Weight,City of profile,Country of profile,Education,Elite Institution,Start Date,StartFlag,End Date,EndFlag,CurrentEmployFlag,Length,Role,Dept,Company,Company_Norm,Ticker,Exchange,PublicFlag,Location,Industry,EducationFlag,DegreeType,EliteFlag,Dummy1,Dummy2,Dummy3,Dummy4,Layoff Date,Company Name,Employees Affected
0,808a3ae7-b1ec-31f0-9335-8f49e4e10a40,1988,0,Web Development,0.919145693,Software Engineering,0.06815633,Los Angeles,United States,5,1,2016/2/1,TRUE,2017/2/1,TRUE,FALSE,366,"Asoc Software Engineer,software engineer",TECHNOLOGY,Symantec,Symantec,SYMC,XNAS,TRUE,culver city,511210,FALSE,,FALSE,,,BBG000BH2JM1,1.54E+12,2/1/2017,Symantec Corporation,87
0,1fe596b8-87d0-3118-ab5e-375485b477e9,1984,0,Mobile Telecommunications,0.571191872,Business Development,0.260967833,Mountain View,United States,5,0,2015/6/1,TRUE,2015/8/1,TRUE,FALSE,61,"Intern Network Engineering,intern,network,engineering",TECHNOLOGY,Cisco,Cisco,CSCO,XNAS,TRUE,"richardson, texas",334210,FALSE,,FALSE,,,BBG000C3J3C9,1.53E+12,7/22/2015,"Cisco Systems, Inc.",192
0,43d4f687-4de8-39e0-91f4-ed90ba1e2862,1967,2,Human Resources,0.264015118,Human Resources,0.205493437,San Francisco,United States,4,0,2013/7/1,TRUE,2014/10/1,TRUE,FALSE,457,"Project Manager - Video/TelePresence,project manager",,Cisco,Cisco,CSCO,XNAS,TRUE,,334210,FALSE,,FALSE,,,BBG000C3J3C9,1.54E+12,10/10/2014,"Cisco Systems, Inc.",1005
0,6870e27a-1eb0-3be6-8878-43b3adc611cc,1964,0,Web Design,0.428620445,Digital Marketing,0.313888702,San Jose,United States,4,0,2015/7/1,TRUE,2016/7/1,TRUE,FALSE,366,"Web Producer,web,producer",TECHNOLOGY,Symantec,Symantec,SYMC,XNAS,TRUE,,511210,FALSE,,FALSE,,,BBG000BH2JM1,1.54E+12,6/10/2016,Symantec Corporation,15
0,8da0eaa5-8d1a-3360-986d-4ab1f5658930,1992,2,Software Engineering,0.704756309,Web Development,0.284495589,New York,United States,4,0,2013/8/1,TRUE,2015/7/1,TRUE,FALSE,699,"Software Engineer,software engineer",TECHNOLOGY,Cisco,Cisco,CSCO,XNAS,TRUE,,334210,FALSE,,FALSE,,,BBG000C3J3C9,1.54E+12,7/22/2015,"Cisco Systems, Inc.",192
0,f1794807-6618-3fcc-9714-728ff081f4b4,1987,1,Administration,0.461406203,Administration,0.254008708,San Francisco,United States,4,0,2014/11/1,TRUE,2015/12/1,TRUE,FALSE,395,"Administrative Assistant to Global Head of Real Estate & Workplace,administrative assistant",OPERATIONS,Twitter,Twitter,TWTR,XNYS,TRUE,"san francisco, california",519130,FALSE,,FALSE,,,BBG000H6HNW3,1.54E+12,12/13/2015,"Twitter, Inc.",240
0,73cd89ab-53b4-37e2-aa71-33b946454b8f,2001,2,Electrical Engineering,0.863073377,Web Development,0.063537786,San Rafael,United States,4,0,2012/9/1,TRUE,2014/10/1,TRUE,FALSE,760,"Firmware Engineer,engineer",,Hewlett-Packard Company,Hewlett-Packard Company,HPQ,XNYS,TRUE,"houston, texas area",33411,FALSE,,FALSE,,,BBG000KHWT55,1.54E+12,10/24/2014,Hewlett-Packard Company,80
0,82321bfa-8b1f-303e-9b34-eb4a5af4ef2e,1958,2,Sales,0.528997518,Mobile Telecommunications,0.259680328,San Francisco,United States,4,0,1997/1/1,FALSE,2016/4/1,TRUE,FALSE,7030,"Program Manager Technical Services Talent Development,program manager,"","",technical,services,development",HR,Cisco Systems,Cisco Systems,CSCO,XNAS,TRUE,san jose,334210,FALSE,,FALSE,,,BBG000C3J3C9,1.54E+12,4/27/2016,"Cisco Systems, Inc.",83
0,d4e4b1ab-2d1a-376c-b687-64db9fea38a2,1988,2,Software Engineering,0.765873459,Data Analysis,0.170808337,Cracow,Poland,4,1,2015/8/1,TRUE,2018/5/1,TRUE,FALSE,1004,"Architect,architect",,General Electric Healthcare,General Electric Healthcare,GE,XNYS,TRUE,kraków (poland) / milwaukee (usa),999977,FALSE,,FALSE,,,BBG000BK6MB5,-5.23E+13,5/22/2018,General Electric Company,120
0,3344e700-230c-31be-b619-44b8020b18a6,2001,1,Human Resources,0.930873413,Legal,0.031488465,Salem,United States,4,0,2014/8/1,TRUE,2015/11/1,TRUE,FALSE,457,"Senior Talent Acquisition Consultant via Manpower,senior,consultant","HR,ACCOUNTING",Intuit,Intuit,INTU,XNAS,TRUE,"mountain view, ca",511210,FALSE,,FALSE,,,BBG000BH5DV1,1.54E+12,10/26/2015,Intuit Inc.,55
