Company Name,Layoff Date,Employees Affected
"Cisco Systems, Inc.",1/17/2017,25
"Cisco Systems, Inc.",1/20/2016,123
"Cisco Systems, Inc.",10/10/2014,1005
"Cisco Systems, Inc.",11/2/2016,42
"Cisco Systems, Inc.",11/3/2015,126
"Cisco Systems, Inc.",3/9/2017,115
"Cisco Systems, Inc.",4/27/2016,83
"Cisco Systems, Inc.",5/18/2017,250
"Cisco Systems, Inc.",7/22/2015,192
"Cisco Systems, Inc.",7/27/2017,9
"Cisco Systems, Inc.",8/18/2016,899
"Cisco Systems, Inc.",9/14/2015,20
"Cisco Systems, Inc.",9/26/2017,310
"Oracle America, Inc.",10/31/2017,964
"Oracle America, Inc.",3/20/2017,441
Symantec Corporation,1/17/2018,33
Symantec Corporation,10/1/2014,2
Symantec Corporation,10/4/2017,21
Symantec Corporation,11/2/2016,23
Symantec Corporation,12/1/2014,25
Symantec Corporation,12/1/2017,46
Symantec Corporation,12/4/2015,44
Symantec Corporation,2/1/2015,4
Symantec Corporation,2/1/2017,87
Symantec Corporation,2/10/2016,6
Symantec Corporation,3/1/2015,85
Symantec Corporation,3/30/2018,7
Symantec Corporation,4/15/2015,7
Symantec Corporation,4/25/2018,19
Symantec Corporation,5/15/2015,30
Symantec Corporation,6/1/2018,10
Symantec Corporation,6/10/2015,4
Symantec Corporation,6/10/2016,15
Symantec Corporation,6/15/2014,12
Symantec Corporation,6/18/2014,97
Symantec Corporation,6/2/2017,36
Symantec Corporation,6/28/2017,24
Symantec Corporation,6/29/2018,4
Symantec Corporation,7/13/2018,8
Symantec Corporation,7/26/2017,20
Symantec Corporation,7/8/2015,13
Symantec Corporation,8/24/2016,77
Symantec Corporation,8/7/2015,60
Symantec Corporation,9/1/2017,14
Symantec Corporation ,1/1/2015,12
Intel Corporation,6/30/2018,65
Intel Corporation,12/31/2016,84
Intel Corporation,2/24/2017,54
Intel Corporation,5/31/2016,296
Intel Corporation,7/15/2015,165
Intel Corporation,8/15/2017,93
Broadcom Corporation,3/16/2015,60
Broadcom Corporation,9/26/2014,75
Broadcom Corporation,3/31/2016,663
"Western Digital Technologies, Inc.",10/23/2015,56
"Western Digital Technologies, Inc.",10/24/2016,59
"Western Digital Technologies, Inc.",6/17/2016,71
"Western Digital Technologies, Inc.",6/2/2017,131
"Western Digital Technologies, Inc.",7/3/2016,337
"Western Digital Technologies, Inc.",8/27/2018,79
"Western Digital Technologies, Inc.",12/18/2015,109
ZYNGA INC.,1/30/2014,395
ZYNGA INC.,5/8/2015,180
"GoPro, Inc.",1/15/2016,77
"GoPro, Inc.",1/4/2018,140
"GoPro, Inc.",11/30/2016,138
"GoPro, Inc.",3/14/2017,94
